Ground Truth,Noised Signal
0.17316688909266134,0.25814671846568293
0.1713101039382728,0.6434385078423384
0.16945271010942842,0.5988730461116176
0.16759471420552546,0.6340938597644173
0.16573612282810038,-0.1528314877618064
0.16387694258088945,-0.16351992926721515
0.16201718006963717,0.13559348543758065
0.16015684190215684,-0.4105821506190865
0.15829593468839123,0.12353789953571609
0.15643446504022085,-0.5426855014605367
0.1545724395715245,-0.10966722203287363
0.15270986489824007,-0.27206178668049796
0.1508467476381726,0.7347350651340756
0.14898309441105495,0.4792549235672017
0.1471189118386086,-0.7397443019021293
0.1452542065443515,-0.3310252658635785
0.14338898515365886,1.5378351120178693
0.14152325429382398,-0.6373966426393054
0.13965702059386595,-0.3483889122897501
0.13779029068459048,-0.677539791175653
0.1359230711986507,-0.31446056650771714
0.13405536877035495,-0.5227988636925875
0.1321871900357273,-0.20832734656949897
0.13031854163256876,0.13190802895890041
0.12844943020026459,-0.5469799646016481
0.12657986237984517,0.6313646652022968
0.12470984481404705,-0.7653332640903634
0.12283938414712017,-0.41603880958858896
0.12096848702488881,-0.39169209276962724
0.11909716009481261,-0.15668330779895517
0.11722541000579376,-0.6403325834251808
0.1153532434082379,0.259838622713304
0.11348066695411525,-0.5496785456620478
0.11160768729676758,-0.07874043338604078
0.10973431109096925,0.42795164001898933
0.10786054499298832,0.2152169226400036
0.10598639566039342,-0.47785209274032914
0.1041118697521148,-0.9288462540764861
0.10223697392850553,-1.3618912520166393
0.10036171485114821,-1.0089973127880558
0.09848609918291605,-0.6266018474026142
0.09661013358803412,-1.1185172118910804
0.09473382473188595,-1.045145107310664
0.09285717928107469,0.24218803787446438
0.0909802039034843,0.6804631364388884
0.08910290526808612,-0.5595126751743419
0.08722529004500001,-0.6165907296922679
0.08534736490555563,-0.5605696347544703
0.08346913652209885,0.05489536706355974
0.08159061156805297,-1.275122364315749
0.07971179671798002,-0.6267777656775982
0.07783269864738702,0.44242544140028905
0.07595332403278733,-1.7352304839574753
0.07407367955176186,-1.1741568187199976
0.07219377188276539,-0.6049783521266863
0.07031360770518778,-1.291231358970299
