,deniosed_signal,model_output,ground_truth
0,3.497389526668497,0.0,5.0
1,4.338150803270799,0.0,5.0627905195293135
2,4.622507838533443,0.0,5.125333233564304
3,4.833080802364367,0.0,5.187381314585725
4,4.4894142624663775,0.0,5.248689887164855
5,4.81951038460577,4.330780506134033,5.3090169943749475
6,5.018897748063027,4.519895076751709,5.368124552684678
7,3.693216816218019,4.661206245422363,5.425779291565073
8,4.830333533801059,4.465475559234619,5.481753674101715
9,5.5304188592767565,4.494781494140625,5.5358267949789965
10,4.36368471449185,4.780740737915039,5.587785252292473
11,4.732255370722516,4.668445110321045,5.637423989748689
12,5.486501131558031,4.618655204772949,5.684547105928688
13,4.6831294536079335,4.928156852722168,5.728968627421412
14,4.102045036841525,4.874536514282227,5.770513242775789
15,5.276402049669673,4.585371971130371,5.8090169943749475
16,5.78038658432624,4.788582801818848,5.844327925502015
17,6.467214091449306,5.049744606018066,5.8763066800438635
18,4.453578702830222,5.33025598526001,5.90482705246602
19,5.863076768053192,5.239471912384033,5.929776485888251
20,5.911948442301485,5.435662269592285,5.951056516295154
21,4.917213442237643,5.513045310974121,5.968583161128631
22,4.861826738422701,5.387932777404785,5.982287250728689
23,5.371589880427669,5.126149654388428,5.9921147013144775
24,6.430768202828533,5.235025405883789,5.998026728428272
25,6.8233218886329565,5.40254545211792,6.0
26,5.648058635726228,5.584888458251953,5.998026728428272
27,7.025105760815698,5.6195197105407715,5.9921147013144775
28,6.196527494961089,5.769063949584961,5.982287250728689
29,6.730248487636878,5.791685104370117,5.968583161128631
30,5.892332257384393,5.804211139678955,5.951056516295154
31,6.348917884525795,5.7648491859436035,5.929776485888252
32,6.196058444151907,5.788759708404541,5.904827052466019
33,6.523746600863543,5.748818874359131,5.8763066800438635
34,5.86894439634818,5.7683610916137695,5.844327925502015
35,6.613244318200222,5.715728759765625,5.8090169943749475
36,6.4555506079690295,5.761914253234863,5.770513242775789
37,5.475036925655456,5.7693352699279785,5.728968627421412
38,6.915115639947774,5.719664096832275,5.684547105928689
39,6.319983290880613,5.759603023529053,5.63742398974869
40,6.812439528991179,5.777226448059082,5.587785252292473
41,5.63200297289853,5.791853427886963,5.5358267949789965
42,6.766615500644913,5.748858451843262,5.481753674101715
43,6.34664944665467,5.801393985748291,5.425779291565073
44,5.721223663223191,5.7808122634887695,5.368124552684678
45,7.287919452106232,5.744802474975586,5.3090169943749475
46,6.365736418482686,5.787448406219482,5.248689887164855
47,5.573014797401028,5.80592679977417,5.187381314585725
48,5.540042594944382,5.752523899078369,5.125333233564304
49,5.344372787844102,5.693679332733154,5.0627905195293135
50,5.928762627351904,5.646859645843506,5.0
51,4.2731024372880135,5.506157875061035,4.9372094804706865
52,5.700367283532585,5.208625316619873,4.874666766435696
53,4.585054255868274,5.258350372314453,4.812618685414275
54,5.105310512408591,5.08448600769043,4.751310112835145
55,5.011877096568904,5.0437140464782715,4.6909830056250525
56,5.726750064288763,4.88035774230957,4.631875447315322
57,5.189348305860358,5.1435723304748535,4.574220708434928
58,4.885500054657249,5.063331127166748,4.518246325898285
59,5.14190888416945,5.068722248077393,4.4641732050210035
60,3.908261673478249,5.069393157958984,4.412214747707527
61,4.141855266607943,4.8547444343566895,4.362576010251311
62,3.884378832628391,4.529449462890625,4.315452894071312
63,4.715524638549935,4.267093658447266,4.271031372578589
64,4.934131564332104,4.277071475982666,4.229486757224211
65,4.857026452837259,4.303308010101318,4.1909830056250525
66,4.100901220543846,4.478118419647217,4.155672074497985
67,5.310549489645975,4.422075271606445,4.1236933199561365
68,4.27304395540809,4.713931560516357,4.09517294753398
69,4.313581922794185,4.602062225341797,4.070223514111749
70,4.003140792302263,4.470490455627441,4.048943483704846
71,3.1527562343176463,4.294960021972656,4.031416838871369
72,4.744053248357142,4.130951881408691,4.017712749271311
73,3.4486005195721345,4.08029317855835,4.0078852986855225
74,3.842204664954334,3.936694622039795,4.001973271571728
75,3.7443470217397614,3.8627166748046875,4.0
76,3.44455528076409,3.8189587593078613,4.001973271571728
77,3.31881241352651,3.801236152648926,4.0078852986855225
78,4.90945862922309,3.593567371368408,4.017712749271311
79,3.597802623648983,3.9369707107543945,4.031416838871369
80,4.2633110859812,3.8781800270080566,4.048943483704846
81,3.484463551948248,3.9685282707214355,4.070223514111749
82,3.7042953881860905,3.923727512359619,4.09517294753398
83,3.3901808993612526,3.9248695373535156,4.1236933199561365
84,2.581667136109336,3.681215763092041,4.155672074497985
85,3.6464625491498115,3.6062846183776855,4.1909830056250525
86,4.332934153541313,3.5443973541259766,4.22948675722421
87,3.802137753829986,3.7174105644226074,4.271031372578588
88,5.176660438219281,3.730821132659912,4.315452894071311
89,4.781819573580499,4.151838779449463,4.362576010251311
90,4.307529947126246,4.381235599517822,4.412214747707527
91,3.6048979036996807,4.424345970153809,4.4641732050210035
92,5.299856704736345,4.267431259155273,4.518246325898285
93,3.642466559138933,4.599086761474609,4.574220708434928
94,3.8549658907272537,4.299248695373535,4.631875447315322
95,5.776793344927163,4.120190143585205,4.6909830056250525
96,4.979425990558258,4.606236457824707,4.751310112835145
97,4.8672565876534035,4.787517070770264,4.812618685414275
98,4.194513066631641,4.715213775634766,4.874666766435696
99,4.231850910249917,4.698676586151123,4.9372094804706865
100,3.3783649040520727,4.678704261779785,5.0
101,5.699857251479403,4.213373184204102,5.062790519529313
102,5.120895026199892,4.552070140838623,5.125333233564304
103,5.40261439052862,4.650793075561523,5.187381314585724
104,4.638560496543716,4.895053863525391,5.248689887164855
105,5.309064248413492,4.902261734008789,5.3090169943749475
106,4.046142893309288,5.106036186218262,5.368124552684678
107,4.296117236840672,4.79572057723999,5.425779291565073
108,4.69459331863565,4.622044563293457,5.481753674101716
