,deniosed_signal,model_output,ground_truth
0,5.46007855547388,0.0,5.0
1,4.892375385865413,0.0,5.0627905195293135
2,5.57236451059012,0.0,5.125333233564304
3,5.171463374771089,0.0,5.187381314585725
4,4.855240735929314,0.0,5.248689887164855
5,6.283529522456088,5.062563419342041,5.3090169943749475
6,5.0499831043846,5.294206619262695,5.368124552684678
7,4.961521056516384,5.279360771179199,5.425779291565073
8,4.978683953926751,5.171035289764404,5.481753674101715
9,5.803249525911665,5.121447563171387,5.5358267949789965
10,5.758743114897117,5.288773536682129,5.587785252292473
11,6.140545277178931,5.2404279708862305,5.637423989748689
12,4.521381619500469,5.426150321960449,5.684547105928688
13,5.835758726689949,5.3238959312438965,5.728968627421412
14,5.224685297626957,5.437648773193359,5.770513242775789
15,6.805666857798597,5.350576400756836,5.8090169943749475
16,5.2816665225030555,5.561077117919922,5.844327925502015
17,5.069582905827024,5.455147743225098,5.8763066800438635
18,6.355278373187973,5.457840442657471,5.90482705246602
19,6.0294145132752295,5.553802490234375,5.929776485888251
20,6.0262161185748555,5.623012542724609,5.951056516295154
21,6.638265447100066,5.556428909301758,5.968583161128631
22,6.14650280822481,5.6902337074279785,5.982287250728689
23,6.8083328680301465,5.74043083190918,5.9921147013144775
24,6.410631802062772,5.773881912231445,5.998026728428272
25,6.35735663399796,5.7880635261535645,6.0
26,7.2247701336509875,5.7969231605529785,5.998026728428272
27,6.524834451355805,5.818528175354004,5.9921147013144775
28,6.271311458061091,5.823675155639648,5.982287250728689
29,5.589694136906028,5.812211513519287,5.968583161128631
30,5.816390453900103,5.779502868652344,5.951056516295154
31,6.644084710928263,5.7463507652282715,5.929776485888252
32,6.66735897989916,5.719735145568848,5.904827052466019
33,6.161418275118171,5.741412162780762,5.8763066800438635
34,6.159686253070913,5.734999179840088,5.844327925502015
35,5.20621416933304,5.757617950439453,5.8090169943749475
36,4.88804005263773,5.705918312072754,5.770513242775789
37,4.664511944093372,5.536245346069336,5.728968627421412
38,6.0905747593792405,5.251259803771973,5.684547105928689
39,5.811293524768912,5.3007354736328125,5.63742398974869
40,5.827590441669846,5.283186912536621,5.587785252292473
41,5.246567333983287,5.384477615356445,5.5358267949789965
42,5.318111653083694,5.393979072570801,5.481753674101715
43,5.230297810197813,5.43010139465332,5.425779291565073
44,5.897137092727149,5.304788112640381,5.368124552684678
45,5.6073342007091025,5.349789619445801,5.3090169943749475
46,5.315519025940582,5.330110549926758,5.248689887164855
47,4.369973805118555,5.323878288269043,5.187381314585725
48,5.003823142149936,5.154175758361816,5.125333233564304
49,4.968428274063104,5.10357666015625,5.0627905195293135
50,4.373786116231164,4.936676025390625,5.0
51,3.8044730840844903,4.68753719329834,4.9372094804706865
52,6.475011922807181,4.385404109954834,4.874666766435696
53,4.7555693105683865,5.034050464630127,4.812618685414275
54,3.9355301084808962,4.968019485473633,4.751310112835145
55,4.8022972781368365,4.75681209564209,4.6909830056250525
56,5.214494044451079,4.8075480461120605,4.631875447315322
57,4.2088350157431575,4.997443199157715,4.574220708434928
58,3.342020370952617,4.5120954513549805,4.518246325898285
59,3.7768622637303757,4.257327079772949,4.4641732050210035
60,4.338718963518204,4.189331531524658,4.412214747707527
61,6.088260393418967,4.120876312255859,4.362576010251311
62,4.489149613852729,4.593193054199219,4.315452894071312
63,3.4228151283736645,4.603754043579102,4.271031372578589
64,4.788048951967883,4.500940799713135,4.229486757224211
65,3.3330164889595686,4.642247200012207,4.1909830056250525
66,3.684770865454726,4.447965621948242,4.155672074497985
67,3.8188308295630913,3.927149772644043,4.1236933199561365
